Lp.,Nazwa złoża,"Stan 
zag. 
złoża",Zasoby,Unnamed: 4,"Wydo-
bycie",Powiat,Unnamed: 0,Unnamed: 1,Stan,Wyszczególnienie,"Ilość 
złóż",Zasoby geologiczne,Unnamed: 3,Unnamed: 5,"Zasoby 
przemy- 
słowe","Nazwa złoża lub 
odwiertu w obrębie 
złoża 
nieudostępnionego","Typ 
wody","Zasoby geologiczne 
bilansowe","Pobór 
(m3/rok)",Zasoby wydobywalne,Zasoby  szacunkowe,"Ubytek 
z  
wydobycia","Stan 
Lp. 
Nazwa złoża 
zag. 
złoża",Unnamed: 2,"Lp. 
Nazwa  złoża","Stan 
zag.",Zasoby wydobywalne bilansowe,Wydobycie,p.,"Zasoby wydobywalne 
Zasoby 
Ilość 
Wyszczególnienie 
bilansowe 
przemy- 
pozabi- 
złóż 
słowe 
lansowe 
Razem 
A+B 
C",Unnamed: 6
,,,"geologiczne 
bilansowe","przemy-
słowe",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,78 237,-,-,bolesławiecki,"2 
Podgrodzie Dolne  
R",,,,,,,,,,,,,,,,,,,,,,,,
,,,913 363,292 325,7 287,,"woj. kujawsko-pomorskie 
złóż: 1",,,,,,,,,,,,,,,,,,,,,,,,
,,,913 363,292 325,7 287,"inowrocławski, 
żniński","1 
Barcin-Piechcin-Pakość  
E",,,,,,,,,,,,,,,,,,,,,,,,
,,,3 252 941,179 924,2 449,,"woj. lubelskie 
złóż: 11",,,,,,,,,,,,,,,,,,,,,,,,
,,,865 715,-,-,chełmski,1,Bezek,P,,,,,,,,,,,,,,,,,,,,,,
,,,195 772,176 594,2 449,"chełmski, m.Chełm",2,Chełm,E,,,,,,,,,,,,,,,,,,,,,,
,,,159 167,-,-,"chełmski, m.Chełm",3,Chełm I,R,,,,,,,,,,,,,,,,,,,,,,
,,,97 095,-,-,"biłgorajski, janowski",4,Frampol II,P,,,,,,,,,,,,,,,,,,,,,,
,,,91 900,-,-,chełmski,5,Nikodemówka,P,,,,,,,,,,,,,,,,,,,,,,
,,,267 890,-,-,chełmski,6,Pokrówka,P,,,,,,,,,,,,,,,,,,,,,,
,,,63 830,-,-,"kraśnicki, opolski",7,Popów,P,,,,,,,,,,,,,,,,,,,,,,
,,,37 709,3 330,-,chełmski,8,Rejowiec,T,,,,,,,,,,,,,,,,,,,,,,
,,,30 227,-,-,chełmski,9,Rejowiec I,R,,,,,,,,,,,,,,,,,,,,,,
,,,200 832,-,-,"krasnostawski, 
świdnicki",10,Trawniki,R,,,,,,,,,,,,,,,,,,,,,,
,,,1 242 804,-,-,tomaszowski,11,Żurawce,P,,,,,,,,,,,,,,,,,,,,,,
,,,1 883 663,90 377,3 253,,"woj. łódzkie 
złóż: 14",,,,,,,,,,,,,,,,,,,,,,,,
,,,187 682,21 767,854,pajęczański,1,Działoszyn-Trębaczew,E,,,,,,,,,,,,,,,,,,,,,,
,,,456 118,-,-,łęczycki,2,Goślub,R,,,,,,,,,,,,,,,,,,,,,,
,,,80 861,-,-,radomszczański,3,Granice,R,,,,,,,,,,,,,,,,,,,,,,
,,,18 391,8 461,-,radomszczański,4,Granice 1,R,,,,,,,,,,,,,,,,,,,,,,
,,,1 222,-,-,radomszczański,5,Kodrąb,R,,,,,,,,,,,,,,,,,,,,,,
,,,241 502,-,-,radomszczański,6,Kodrąb-Dmenin,P,,,,,,,,,,,,,,,,,,,,,,
,,,92 869,-,-,pajęczański,7,Kule,P,,,,,,,,,,,,,,,,,,,,,,
,,,209 423,-,-,opoczyński,8,Mariampol-Stok,P,,,,,,,,,,,,,,,,,,,,,,
,,,80 954,36 729,-,opoczyński,9,Mariampol-Stok I,R,,,,,,,,,,,,,,,,,,,,,,
,,,26 246,5 444,688,pajęczański,10,Niwiska Górne-Grądy,E,,,,,,,,,,,,,,,,,,,,,,
,,,156 043,17 975,1 711,pajęczański,11,Pajęczno-Makowiska I,E,,,,,,,,,,,,,,,,,,,,,,
,,,182 655,-,-,piotrkowski,12,Sulejów I,R,,,,,,,,,,,,,,,,,,,,,,
,,,92 761,-,-,łaski,13,Wielka Wieś,R,,,,,,,,,,,,,,,,,,,,,,
,,,56 937,-,-,wieluński,14,Wieluń,R,,,,,,,,,,,,,,,,,,,,,,
,,,"geologiczne 
bilansowe","przemy-
słowe",,,,,,,,,,,,,,,,,,,,,,,,,,,
156.0,Gogołów,Z,50,-,-,strzyżowski,,,,,,,,,,,,,,,,,,,,,,,,,
157.0,Gogołów dz.592,Z,21,-,-,strzyżowski,,,,,,,,,,,,,,,,,,,,,,,,,
158.0,Gogołów dz.620,Z,58,-,-,strzyżowski,,,,,,,,,,,,,,,,,,,,,,,,,
159.0,Gogołów III,Z,-,-,-,strzyżowski,,,,,,,,,,,,,,,,,,,,,,,,,
160.0,Gogołów-I,Z,60,-,-,strzyżowski,,,,,,,,,,,,,,,,,,,,,,,,,
161.0,Golce,R,72,-,-,niżański,,,,,,,,,,,,,,,,,,,,,,,,,
162.0,Gołęczyna I,E,1 073,830,47,dębicki,,,,,,,,,,,,,,,,,,,,,,,,,
163.0,Gołęczyna-Barycza,E,236,-,14,dębicki,,,,,,,,,,,,,,,,,,,,,,,,,
164.0,Gołęczyna-Barycza II,R,120,-,-,dębicki,,,,,,,,,,,,,,,,,,,,,,,,,
165.0,Gołęczyna-Barycza III,R,439,-,-,dębicki,,,,,,,,,,,,,,,,,,,,,,,,,
166.0,Gołęczyna-Paulina*,R,876,876,-,dębicki,,,,,,,,,,,,,,,,,,,,,,,,,
167.0,Gołęczyna-Piaski,Z,10,-,-,dębicki,,,,,,,,,,,,,,,,,,,,,,,,,
168.0,Gołęczyna-Piaskownia,R,133,-,-,dębicki,,,,,,,,,,,,,,,,,,,,,,,,,
169.0,Gołęczyna-Złotoryja,Z,204,-,-,dębicki,,,,,,,,,,,,,,,,,,,,,,,,,
170.0,Gorliczyna,Z,59,-,-,przeworski,,,,,,,,,,,,,,,,,,,,,,,,,
171.0,Gorliczyna III,Z,56,-,-,przeworski,,,,,,,,,,,,,,,,,,,,,,,,,
172.0,Gorliczyna VI,E,27,-,9,przeworski,,,,,,,,,,,,,,,,,,,,,,,,,
173.0,Gorzyce,R,145,-,-,tarnobrzeski,,,,,,,,,,,,,,,,,,,,,,,,,
174.0,Gorzyce,P,12 349,-,-,przeworski,,,,,,,,,,,,,,,,,,,,,,,,,
175.0,Gorzyce*,P,820,-,-,jasielski,,,,,,,,,,,,,,,,,,,,,,,,,
176.0,Gorzyce 1,R,213,-,-,tarnobrzeski,,,,,,,,,,,,,,,,,,,,,,,,,
177.0,Gorzyce dz.308,R,437,-,-,przeworski,,,,,,,,,,,,,,,,,,,,,,,,,
178.0,Gorzyce II,R,398,-,-,tarnobrzeski,,,,,,,,,,,,,,,,,,,,,,,,,
179.0,Góra Bubnowa,R,3 038,-,-,jarosławski,,,,,,,,,,,,,,,,,,,,,,,,,
180.0,Góra Smerecka,R,216,-,-,lubaczowski,,,,,,,,,,,,,,,,,,,,,,,,,
181.0,Górno-Tupaj,T,47,-,-,rzeszowski,,,,,,,,,,,,,,,,,,,,,,,,,
182.0,Grabiny*,R,931,-,-,dębicki,,,,,,,,,,,,,,,,,,,,,,,,,
183.0,Grabiny I*,R,1 137,-,-,dębicki,,,,,,,,,,,,,,,,,,,,,,,,,
184.0,Grabiny-Błyszczówka*,R,583,-,-,dębicki,,,,,,,,,,,,,,,,,,,,,,,,,
185.0,Grabowiec*,Z,169,-,-,jarosławski,,,,,,,,,,,,,,,,,,,,,,,,,
186.0,Grabowiec II*,Z,6,-,-,jarosławski,,,,,,,,,,,,,,,,,,,,,,,,,
187.0,Grabowiec Wierzbowy Gaj*,R,104,152,-,jarosławski,,,,,,,,,,,,,,,,,,,,,,,,,
188.0,Grabowiec-Barycz*,Z,2 061,-,-,"jarosławski, przemyski",,,,,,,,,,,,,,,,,,,,,,,,,
189.0,Grębów,R,8 839,-,-,tarnobrzeski,,,,,,,,,,,,,,,,,,,,,,,,,
190.0,Grębów-Jeziórko,E,3 133,1 127,22,tarnobrzeski,,,,,,,,,,,,,,,,,,,,,,,,,
191.0,Grębów-Skóra I,Z,7,-,-,tarnobrzeski,,,,,,,,,,,,,,,,,,,,,,,,,
192.0,Haczów*,Z,7 977,-,-,"brzozowski, krośnieński",,,,,,,,,,,,,,,,,,,,,,,,,
193.0,Hermanowa,Z,-,-,-,rzeszowski,,,,,,,,,,,,,,,,,,,,,,,,,
194.0,Hermanowa I,Z,9,-,-,rzeszowski,,,,,,,,,,,,,,,,,,,,,,,,,
195.0,Hureczko*,E,11 917,6 905,202,przemyski,,,,,,,,,,,,,,,,,,,,,,,,,
196.0,Hureczko 1**,R,2 396,2 396,-,przemyski,,,,,,,,,,,,,,,,,,,,,,,,,
197.0,Hurko*,E,1 532,547,52,przemyski,,,,,,,,,,,,,,,,,,,,,,,,,
198.0,Hurko I*,E,5 265,1 366,154,przemyski,,,,,,,,,,,,,,,,,,,,,,,,,
199.0,Iskań II**,E,106,-,34,przemyski,,,,,,,,,,,,,,,,,,,,,,,,,
200.0,Iskań III**,R,254,-,-,przemyski,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"geologiczne 
bilansowe","przemy-
słowe",,,"Lp. 
Nazwa złoża",,"zag. 
złoża",,,,,,,,,,,,,,,,,,,,,,
,,,53 237.95,1 047.72,114.20,,"ZŁOŻA UDOKUMENTOWANE 
złóż: 16;  OGÓŁEM",,,,,,,,,,,,,,,,,,,,,,,,
,,,42 369.72,275.72,69.20,,"woj. dolnośląskie 
złóż: 4",,,,,,,,,,,,,,,,,,,,,,,,
,,,29 016.00,-,-,średzki,"Lusina-Udanin pole Południowe  
1 
R",,,,,,,,,,,,,,,,,,,,,,,,
,,,6 117.00,-,-,średzki,"2 
Lusina-Udanin pole Północne  
R",,,,,,,,,,,,,,,,,,,,,,,,
,,,6 961.00,-,-,średzki,"3 
Różana  
R",,,,,,,,,,,,,,,,,,,,,,,,
,,,275.72,275.72,69.20,świdnicki,"4 
Rusko-Jaroszów  
E",,,,,,,,,,,,,,,,,,,,,,,,
,,,3 243.45,-,-,,"woj. lubuskie 
złóż: 7",,,,,,,,,,,,,,,,,,,,,,,,
,,,1 328.45,-,-,żarski,1,Chwaliszowice,Z,,,,,,,,,,,,,,,,,,,,,,
,,,402.00,-,-,żarski,2,Łęknica,Z,,,,,,,,,,,,,,,,,,,,,,
,,,195.00,-,-,żarski,3,Łęknica II,Z,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,żarski,4,Łęknica III,Z,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,żarski,5,Łęknica-pole Edward,Z,,,,,,,,,,,,,,,,,,,,,,
,,,328.00,-,-,żagański,6,Małomice I,Z,,,,,,,,,,,,,,,,,,,,,,
,,,990.00,-,-,żagański,7,Małomice II,R,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,,"woj. łódzkie 
złóż: 1",,,,,,,,,,,,,,,,,,,,,,,,
,,,tylko pzb.,-,-,opoczyński,"1 
Żarnów  
Z",,,,,,,,,,,,,,,,,,,,,,,,
,,,7 624.78,772.00,45.00,,"woj. mazowieckie 
złóż: 4",,,,,,,,,,,,,,,,,,,,,,,,
,,,5 176.00,772.00,45.00,przysuski,"1 
Borkowice-Radestów  
E",,,,,,,,,,,,,,,,,,,,,,,,
,,,314.00,-,-,przysuski,"2 
Jakubów  
Z",,,,,,,,,,,,,,,,,,,,,,,,
,,,1 829.78,-,-,przysuski,"3 
Kryzmanówka  
Z",,,,,,,,,,,,,,,,,,,,,,,,
,,,305.00,-,-,przysuski,"4 
Rusinów  
R",,,,,,,,,,,,,,,,,,,,,,,,
,,,"geologiczne 
bilansowe","przemy-
słowe",,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,Głogusz,Z,27,-,-,zielonogórski,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,Gołaszyn,E,1 584,1 584,377,nowosolski,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,Goraj-Pole E*,R,521,-,-,międzyrzecki,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,Gościkowo,Z,106,-,-,świebodziński,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,Gozdnica*,E,2 979,2 038,92,żagański,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,Gozdnica-Wydma,Z,434,-,-,żagański,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,Górki Małe I,R,129,-,-,zielonogórski,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,Górki-1 i Górki-2,E,904,900,5,strzelecko-drezdenecki,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,Górzyca,Z,94,-,-,słubicki,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,Górzyca I,T,1 513,1 513,-,słubicki,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,Górzykowo III,R,108,-,-,zielonogórski,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,Górzykowo IV,Z,88,-,-,zielonogórski,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,Grabów,Z,560,-,-,sulęciński,,,,,,,,,,,,,,,,,,,,,,,,,
82.0,"Grajówka - Zbiornik - Pole 
Północne 1*",E,4 558,3 317,5,żagański,,,,,,,,,,,,,,,,,,,,,,,,,
83.0,"Grajówka - Zbiornik Pole 
Północne*",Z,16 127,-,-,żagański,,,,,,,,,,,,,,,,,,,,,,,,,
84.0,Grajówka-Zbiornik p.S*,E,55 160,-,761,żagański,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,Gralewo,M,-,-,-,gorzowski,,,,,,,,,,,,,,,,,,,,,,,,,
86.0,Gralewo-pole ES*,E,653,653,30,gorzowski,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,Gryżyce II*,R,13 368,-,-,żagański,,,,,,,,,,,,,,,,,,,,,,,,,
88.0,Gubin,E,266,156,52,krośnieński,,,,,,,,,,,,,,,,,,,,,,,,,
89.0,Guzów*,R,131,-,-,żarski,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,Hetmanice II,R,464,-,-,wschowski,,,,,,,,,,,,,,,,,,,,,,,,,
91.0,Hetmanice SO,R,147,-,-,wschowski,,,,,,,,,,,,,,,,,,,,,,,,,
92.0,Hetmanice WJ,R,305,-,-,wschowski,,,,,,,,,,,,,,,,,,,,,,,,,
93.0,Jakob-Chociszewo,Z,1 016,-,-,międzyrzecki,,,,,,,,,,,,,,,,,,,,,,,,,
94.0,Janczewo I*,Z,200,-,-,gorzowski,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,Janczewo Północ,T,783,783,-,gorzowski,,,,,,,,,,,,,,,,,,,,,,,,,
96.0,Jasionna,Z,5,-,-,żarski,,,,,,,,,,,,,,,,,,,,,,,,,
97.0,Jeziory,R,1 499,1 499,-,świebodziński,,,,,,,,,,,,,,,,,,,,,,,,,
98.0,Kalsk,R,333,-,-,zielonogórski,,,,,,,,,,,,,,,,,,,,,,,,,
99.0,Kalsk 1,E,1 764,712,36,zielonogórski,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,Kalsko I,T,1 485,1 485,-,międzyrzecki,,,,,,,,,,,,,,,,,,,,,,,,,
101.0,Kalsko III,E,768,768,40,międzyrzecki,,,,,,,,,,,,,,,,,,,,,,,,,
102.0,Kalsko NT I,R,3 017,-,-,międzyrzecki,,,,,,,,,,,,,,,,,,,,,,,,,
103.0,Kalsko NT II,R,1 540,-,-,międzyrzecki,,,,,,,,,,,,,,,,,,,,,,,,,
104.0,Kalsko NT III,R,1 295,-,-,międzyrzecki,,,,,,,,,,,,,,,,,,,,,,,,,
105.0,Kalsko NT IV,R,715,-,-,międzyrzecki,,,,,,,,,,,,,,,,,,,,,,,,,
106.0,Kalsko NT V,R,2 562,-,-,międzyrzecki,,,,,,,,,,,,,,,,,,,,,,,,,
107.0,Karszyn,R,369,-,-,zielonogórski,,,,,,,,,,,,,,,,,,,,,,,,,
108.0,Kije*,R,143,-,-,zielonogórski,,,,,,,,,,,,,,,,,,,,,,,,,
109.0,Klępsk,R,204,-,-,zielonogórski,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,Kłodawa,R,277,-,-,gorzowski,,,,,,,,,,,,,,,,,,,,,,,,,
111.0,Kosieczyn,E,486,486,8,świebodziński,,,,,,,,,,,,,,,,,,,,,,,,,
112.0,Kozin Stężyca - W,Z,156,-,-,gorzowski,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"geologiczne 
bilansowe","przemy-
słowe",,,,,,,,,,,,,,,,,,,,,,,,,,,
193.0,Pyrzowice,R,227,-,-,"będziński, tarnogórski",,,,,,,,,,,,,,,,,,,,,,,,,
194.0,Racibórz**,Z,942,-,-,raciborski,,,,,,,,,,,,,,,,,,,,,,,,,
195.0,Racibórz I - Zbiornik 2*,E,69,64,33,raciborski,,,,,,,,,,,,,,,,,,,,,,,,,
196.0,Racibórz I - Zbiornik 3*,T,3 743,-,-,raciborski,,,,,,,,,,,,,,,,,,,,,,,,,
197.0,Racibórz I - Zbiornik 3/1*,M,-,-,-,raciborski,,,,,,,,,,,,,,,,,,,,,,,,,
198.0,Racibórz I - Zbiornik 4*,R,2 248,-,-,raciborski,,,,,,,,,,,,,,,,,,,,,,,,,
199.0,Racibórz I i II*,R,3 510,-,-,raciborski,,,,,,,,,,,,,,,,,,,,,,,,,
200.0,Racibórz II - Zbiornik 1*,T,1 599,534,-,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
201.0,Racibórz II - Zbiornik 4*,E,5 097,1 257,374,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
202.0,Racibórz II - Zbiornik 5*,E,1 961,1 846,175,"raciborski, wodzisławski",,,,,,,,,,,,,,,,,,,,,,,,,
203.0,Racibórz II - Zbiornik 6*,E,2 423,1 662,59,"raciborski, wodzisławski",,,,,,,,,,,,,,,,,,,,,,,,,
204.0,Racibórz II - Zbiornik 7*,E,2 812,828,221,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
205.0,Racibórz II- Zbiornik*,P,2 559,-,-,"raciborski, wodzisławski",,,,,,,,,,,,,,,,,,,,,,,,,
206.0,Racibórz III-Zbiornik*,P,7 763,-,-,raciborski,,,,,,,,,,,,,,,,,,,,,,,,,
207.0,Racibórz II-Zbiornik 10*,R,243,-,-,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
208.0,Racibórz II-Zbiornik 11*,R,265,-,-,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
209.0,Racibórz II-Zbiornik 12*,R,4 875,-,-,"raciborski, wodzisławski",,,,,,,,,,,,,,,,,,,,,,,,,
210.0,Racibórz II-Zbiornik 13*,R,674,-,-,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
211.0,Racibórz II-Zbiornik 14*,R,3 470,-,-,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
212.0,Racibórz II-Zbiornik 15*,R,433,-,-,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
213.0,Racibórz II-Zbiornik 3*,E,593,840,89,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
214.0,Racibórz II-Zbiornik 8*,T,1 781,1 309,-,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
215.0,Racibórz II-Zbiornik 8/1*,E,6 616,4 942,158,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
216.0,Racibórz IV - Zbiornik*,P,2 158,-,-,raciborski,,,,,,,,,,,,,,,,,,,,,,,,,
217.0,Racibórz I-Zbiornik*,P,2 068,-,-,"raciborski, wodzisławski",,,,,,,,,,,,,,,,,,,,,,,,,
218.0,Racibórz P,R,210,-,-,raciborski,,,,,,,,,,,,,,,,,,,,,,,,,
219.0,Racibórz Studzienna II*,R,432,-,-,raciborski,,,,,,,,,,,,,,,,,,,,,,,,,
220.0,Racibórz-Brzezie*,R,528,-,-,raciborski,,,,,,,,,,,,,,,,,,,,,,,,,
221.0,Racibórz-Roszków*,Z,324,-,-,"raciborski, wodzisławski",,,,,,,,,,,,,,,,,,,,,,,,,
222.0,Racibórz-Zakole 2*,R,205,-,-,raciborski,,,,,,,,,,,,,,,,,,,,,,,,,
223.0,Racibórz-Zbiornik Górny-1*,Z,32,-,-,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
224.0,Racibórz-Zbiornik Górny-2*,T,116,-,-,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
225.0,Racibórz-Zbiornik Górny-3*,T,45,-,-,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
226.0,Racibórz-Zbiornik Górny-4*,Z,-,-,-,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
227.0,Racibórz-Zbiornik Górny-5*,T,33,-,-,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
228.0,Racibórz-Zbiornik Górny-6*,R,168,-,-,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
229.0,Racibórz-Zbiornik Grn.*,T,23 775,-,-,"raciborski, wodzisławski",,,,,,,,,,,,,,,,,,,,,,,,,
230.0,Radlin-Letnia*,E,112,-,31,wodzisławski,,,,,,,,,,,,,,,,,,,,,,,,,
231.0,Radziechowy**,Z,375,-,-,żywiecki,,,,,,,,,,,,,,,,,,,,,,,,,
